Version records

Name          Version             Modified
--------------------------------------------------------------------------------
Bootstrap     3.0.2               No
Bootflat      1.0.1               No
jQuery        1.10.2 & 2.0.3      No
jQuery UI     1.10.3              No
Seajs         2.1.1               Yes
Console       1.0.0               No
Bootbox       4.1.0               Yes
Holder        2.2                 No
SlickGrid     (2013-10-31)        No
zTree         3.5.15              Yes, change to CMD
select2       3.4.5               No
parsley       1.2.0               No       
